CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,CODIGO_DANE_MANZANA,CATEGORIA_MUNICIPIO,NIVEL_VULNERABILIDAD,TIPO_VULNERABILIDAD,IPM
11,BOGOTA,11001,BOGOTA,1100110000000011050225,ESPECIAL,Vulnerabilidad baja,1,30
11,BOGOTA,11001,BOGOTA,1100110000000011050226,ESPECIAL,Vulnerabilidad baja,1,53
11,BOGOTA,11001,BOGOTA,1100110000000011050302,ESPECIAL,Vulnerabilidad baja,1,33
11,BOGOTA,11001,BOGOTA,1100110000000011050303,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050304,ESPECIAL,Vulnerabilidad media,3,18
11,BOGOTA,11001,BOGOTA,1100110000000011050305,ESPECIAL,Vulnerabilidad baja,1,7
11,BOGOTA,11001,BOGOTA,1100110000000011050306,ESPECIAL,Vulnerabilidad media,3,16
11,BOGOTA,11001,BOGOTA,1100110000000011050403,ESPECIAL,Vulnerabilidad media-baja,2,16
11,BOGOTA,11001,BOGOTA,1100110000000011050404,ESPECIAL,Vulnerabilidad media-baja,2,16
11,BOGOTA,11001,BOGOTA,1100110000000011050405,ESPECIAL,Vulnerabilidad baja,1,6
11,BOGOTA,11001,BOGOTA,1100110000000011050406,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050407,ESPECIAL,Vulnerabilidad baja,1,55
11,BOGOTA,11001,BOGOTA,1100110000000011050408,ESPECIAL,Vulnerabilidad media-baja,2,24
11,BOGOTA,11001,BOGOTA,1100110000000011050409,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011050410,ESPECIAL,Vulnerabilidad baja,1,11
11,BOGOTA,11001,BOGOTA,1100110000000011050414,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050415,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050418,ESPECIAL,Vulnerabilidad baja,1,0
